date,state,fips,cases,deaths
2020-03-01,New York,36,1,0
2020-03-02,New York,36,1,0
2020-03-03,New York,36,2,0
2020-03-04,New York,36,11,0
2020-03-05,New York,36,22,0
2020-03-06,New York,36,44,0
2020-03-07,New York,36,89,0
2020-03-08,New York,36,106,0
2020-03-09,New York,36,142,0
2020-03-10,New York,36,173,0
2020-03-11,New York,36,217,0
2020-03-12,New York,36,326,0
2020-03-13,New York,36,421,0
2020-03-14,New York,36,610,2
2020-03-15,New York,36,732,6
2020-03-16,New York,36,950,10
2020-03-17,New York,36,1374,17
2020-03-18,New York,36,2382,27
2020-03-19,New York,36,4152,30
2020-03-20,New York,36,7102,57
2020-03-21,New York,36,10356,80
2020-03-22,New York,36,15168,122
2020-03-23,New York,36,20875,159
2020-03-24,New York,36,25665,218
2020-03-25,New York,36,33066,325
2020-03-26,New York,36,38987,432
2020-03-27,New York,36,44635,535
2020-03-28,New York,36,53363,782
2020-03-29,New York,36,59568,965
2020-03-30,New York,36,67174,1224
2020-03-31,New York,36,75832,1550
2020-04-01,New York,36,83889,1941
2020-04-02,New York,36,92770,2653
2020-04-03,New York,36,102870,2935
2020-04-04,New York,36,114996,3568
2020-04-05,New York,36,122911,4161
2020-04-06,New York,36,130703,4758
2020-04-07,New York,36,140081,5563
2020-04-08,New York,36,149401,6268
2020-04-09,New York,36,159937,7067
2020-04-10,New York,36,170512,7844
